Player,Nation,Pos,Squad,Age,90s,MP,Gls,Ast,Sh,SoT,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Tkl,Int,Clr,Blocks,Def 3rd,Mid 3rd,Att 3rd,TklW,Succ_x,KP,PassLive,PassDead,PrgP,market_value_in_eur,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ_y,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR
Mile Svilar,SRB,GK,Roma,23.0,15.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,526.0,605.0,86.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,14000000.0,644.0,549.0,643.0,1.0,0.0,0.0,644.0,1.0,1.0,100.0,0.0,0.0,414.0,1946.0,1174.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0
Milos Kerkez,HUN,DF,Bournemouth,19.0,21.9,28,0.0,1.0,16.0,5.0,1.2,1.2,1.0,32.0,4.0,613.0,844.0,72.6,47.0,20.0,60.0,20.0,31.0,13.0,3.0,26.0,12.0,12.0,25.0,0.0,44.0,20000000.0,1095.0,81.0,371.0,386.0,352.0,31.0,1095.0,27.0,12.0,44.4,12.0,44.4,518.0,3192.0,1617.0,46.0,28.0,8.0,29.0,10.0,538.0,93.0
Mitchel Bakker,NED,DF,Atalanta,23.0,4.2,14,1.0,0.0,5.0,1.0,0.2,0.2,0.1,4.0,0.0,167.0,212.0,78.8,7.0,3.0,6.0,8.0,6.0,1.0,0.0,3.0,7.0,3.0,4.0,0.0,10.0,6000000.0,255.0,6.0,70.0,116.0,77.0,10.0,255.0,12.0,7.0,58.3,4.0,33.3,139.0,807.0,457.0,12.0,8.0,2.0,10.0,3.0,151.0,20.0
Mitchell Weiser,GER,"DF,MF",Werder Bremen,29.0,29.3,30,3.0,7.0,44.0,13.0,3.8,3.8,5.8,89.0,16.0,1074.0,1443.0,74.4,64.0,20.0,43.0,60.0,29.0,25.0,10.0,38.0,50.0,37.0,61.0,3.0,111.0,6000000.0,1813.0,64.0,446.0,819.0,573.0,91.0,1813.0,107.0,50.0,46.7,50.0,46.7,928.0,4910.0,2602.0,81.0,49.0,13.0,54.0,34.0,1115.0,189.0
Modibo Sagnan,MLI,DF,Montpellier,24.0,11.7,13,2.0,0.0,9.0,3.0,1.2,1.2,0.4,8.0,1.0,442.0,517.0,85.5,34.0,15.0,67.0,6.0,23.0,9.0,2.0,22.0,2.0,3.0,7.0,0.0,25.0,3000000.0,676.0,107.0,342.0,306.0,31.0,13.0,676.0,2.0,2.0,100.0,0.0,0.0,447.0,2290.0,1211.0,7.0,3.0,0.0,6.0,3.0,408.0,5.0
Mohamed Kaba,FRA,MF,Lecce,21.0,15.3,23,0.0,0.0,14.0,6.0,1.2,1.2,0.8,31.0,0.0,349.0,438.0,79.7,39.0,12.0,13.0,7.0,15.0,16.0,8.0,23.0,14.0,13.0,28.0,0.0,60.0,3500000.0,609.0,18.0,114.0,345.0,162.0,22.0,609.0,26.0,14.0,53.8,8.0,30.8,327.0,1760.0,755.0,14.0,13.0,3.0,39.0,21.0,372.0,32.0
Mohamed Salah,EGY,FW,Liverpool,31.0,28.2,32,18.0,10.0,107.0,47.0,21.2,15.5,7.5,139.0,20.0,737.0,1010.0,73.0,17.0,2.0,1.0,42.0,1.0,8.0,8.0,11.0,27.0,66.0,103.0,2.0,147.0,55000000.0,1359.0,4.0,47.0,460.0,866.0,241.0,1352.0,77.0,27.0,35.1,49.0,63.6,977.0,5309.0,2614.0,98.0,54.0,66.0,77.0,59.0,1116.0,341.0
Mohammed Kudus,GHA,"FW,MF",West Ham,22.0,27.6,33,8.0,6.0,67.0,17.0,5.1,5.1,3.7,100.0,16.0,677.0,875.0,77.4,65.0,11.0,9.0,43.0,27.0,27.0,11.0,47.0,124.0,28.0,53.0,1.0,80.0,50000000.0,1311.0,20.0,193.0,582.0,590.0,102.0,1311.0,221.0,124.0,56.1,77.0,34.8,904.0,6874.0,3225.0,117.0,62.0,40.0,80.0,93.0,936.0,216.0
Mohammed Salisu,GHA,DF,Monaco,24.0,11.5,12,0.0,1.0,4.0,1.0,0.2,0.2,0.2,10.0,2.0,657.0,778.0,84.4,27.0,22.0,44.0,9.0,11.0,13.0,3.0,12.0,4.0,3.0,9.0,0.0,72.0,15000000.0,905.0,90.0,337.0,540.0,38.0,7.0,905.0,6.0,4.0,66.7,2.0,33.3,639.0,3462.0,1671.0,7.0,13.0,0.0,5.0,1.0,588.0,6.0
Moi Gómez,ESP,"MF,FW",Osasuna,29.0,22.3,28,3.0,0.0,19.0,7.0,1.7,1.7,1.9,60.0,2.0,953.0,1177.0,81.0,30.0,11.0,22.0,36.0,7.0,19.0,4.0,19.0,17.0,24.0,42.0,12.0,127.0,3500000.0,1346.0,22.0,157.0,792.0,411.0,29.0,1346.0,29.0,17.0,58.6,11.0,37.9,767.0,4018.0,1680.0,36.0,25.0,3.0,21.0,13.0,975.0,69.0
Moise Kean,ITA,FW,Juventus,23.0,7.3,19,0.0,0.0,16.0,3.0,2.1,2.1,0.1,14.0,1.0,66.0,96.0,68.8,7.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,14.0,5.0,7.0,0.0,6.0,18000000.0,196.0,6.0,20.0,87.0,91.0,22.0,196.0,32.0,14.0,43.8,18.0,56.3,121.0,751.0,302.0,12.0,6.0,7.0,32.0,16.0,142.0,38.0
Moisés Caicedo,ECU,MF,Chelsea,21.0,31.8,35,1.0,3.0,13.0,4.0,0.4,0.4,2.0,66.0,12.0,1907.0,2119.0,90.0,91.0,37.0,44.0,29.0,38.0,42.0,11.0,46.0,26.0,23.0,52.0,0.0,173.0,75000000.0,2452.0,122.0,687.0,1405.0,382.0,9.0,2452.0,56.0,26.0,46.4,24.0,42.9,1378.0,5497.0,2466.0,27.0,31.0,1.0,36.0,24.0,1828.0,27.0
