Player,Nation,Pos,Squad,Age,90s,MP,Gls,Ast,Sh,SoT,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Tkl,Int,Clr,Blocks,Def 3rd,Mid 3rd,Att 3rd,TklW,Succ_x,KP,PassLive,PassDead,PrgP,market_value_in_eur,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ_y,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR
Aaron Cresswell,ENG,"DF,FW",West Ham,33.0,4.8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,1.0,254.0,308.0,82.5,3.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,7.0,3.0,26.0,900000.0,326.0,18.0,125.0,141.0,61.0,1.0,326.0,1.0,0.0,0.0,1.0,100.0,169.0,522.0,220.0,4.0,5.0,0.0,0.0,2.0,210.0,6.0
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,25.0,19.8,22,0.0,2.0,3.0,1.0,0.1,0.1,1.4,26.0,3.0,823.0,986.0,83.5,42.0,41.0,68.0,27.0,18.0,20.0,4.0,25.0,17.0,12.0,24.0,1.0,77.0,20000000.0,1225.0,85.0,424.0,538.0,278.0,24.0,1225.0,32.0,17.0,53.1,9.0,28.1,594.0,2909.0,1429.0,30.0,27.0,4.0,20.0,9.0,691.0,54.0
Aarón Martín,ESP,DF,Genoa,26.0,15.3,22,0.0,1.0,5.0,0.0,0.2,0.2,1.7,33.0,2.0,431.0,619.0,69.6,21.0,9.0,15.0,22.0,7.0,10.0,4.0,10.0,6.0,26.0,20.0,12.0,35.0,5000000.0,703.0,26.0,166.0,288.0,255.0,10.0,703.0,12.0,6.0,50.0,6.0,50.0,367.0,1839.0,972.0,28.0,21.0,3.0,12.0,4.0,432.0,72.0
Abakar Sylla,CIV,DF,Strasbourg,20.0,19.9,22,2.0,0.0,11.0,5.0,1.6,1.6,0.2,14.0,1.0,1111.0,1266.0,87.8,54.0,26.0,70.0,5.0,30.0,19.0,5.0,23.0,9.0,5.0,12.0,0.0,72.0,12000000.0,1490.0,201.0,717.0,729.0,56.0,18.0,1490.0,13.0,9.0,69.2,4.0,30.8,1060.0,5999.0,3215.0,8.0,11.0,0.0,14.0,7.0,962.0,2.0
Abdel Abqar,MAR,DF,Alavés,24.0,25.7,27,0.0,0.0,10.0,3.0,0.5,0.5,0.2,12.0,0.0,553.0,762.0,72.6,35.0,23.0,115.0,10.0,28.0,5.0,2.0,19.0,3.0,3.0,9.0,0.0,49.0,7500000.0,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0,15.0,1.0,499.0,1.0
Abdou Harroui,NED,"MF,FW",Frosinone,25.0,11.3,18,3.0,3.0,32.0,11.0,3.1,2.3,1.4,39.0,4.0,303.0,383.0,79.1,23.0,5.0,8.0,11.0,11.0,11.0,1.0,11.0,19.0,16.0,27.0,0.0,38.0,2700000.0,564.0,11.0,79.0,276.0,220.0,32.0,563.0,44.0,19.0,43.2,21.0,47.7,308.0,2227.0,1221.0,43.0,31.0,8.0,28.0,7.0,378.0,56.0
Abdoulaye Doucouré,MLI,"FW,MF",Everton,30.0,29.2,32,7.0,1.0,47.0,21.0,8.8,8.8,1.5,67.0,5.0,683.0,893.0,76.5,43.0,15.0,19.0,29.0,20.0,14.0,9.0,27.0,25.0,34.0,59.0,0.0,97.0,10000000.0,1190.0,36.0,188.0,523.0,495.0,100.0,1190.0,48.0,25.0,52.1,21.0,43.8,635.0,3292.0,1692.0,55.0,37.0,17.0,61.0,42.0,800.0,140.0
Abdoulaye Touré,GUI,MF,Le Havre,29.0,25.4,30,2.0,0.0,31.0,8.0,3.0,1.4,0.9,44.0,1.0,1031.0,1238.0,83.3,47.0,25.0,33.0,19.0,22.0,22.0,3.0,28.0,29.0,12.0,37.0,0.0,148.0,3000000.0,1504.0,77.0,385.0,946.0,194.0,17.0,1502.0,42.0,29.0,69.0,12.0,28.6,1107.0,5683.0,2425.0,22.0,37.0,2.0,37.0,28.0,1006.0,25.0
Abdukodir Khusanov,UZB,DF,Lens,19.0,9.0,11,0.0,0.0,5.0,2.0,0.2,0.2,0.2,6.0,0.0,383.0,439.0,87.2,21.0,13.0,32.0,1.0,13.0,8.0,0.0,12.0,1.0,1.0,3.0,0.0,23.0,5000000.0,535.0,61.0,275.0,234.0,29.0,3.0,535.0,2.0,1.0,50.0,1.0,50.0,388.0,1981.0,757.0,5.0,4.0,0.0,6.0,0.0,349.0,1.0
Abdul Mumin,GHA,DF,Rayo Vallecano,25.0,18.8,20,1.0,0.0,6.0,1.0,0.4,0.4,0.1,11.0,0.0,617.0,773.0,79.8,19.0,22.0,82.0,3.0,13.0,4.0,2.0,10.0,2.0,4.0,8.0,0.0,38.0,4000000.0,956.0,127.0,578.0,359.0,25.0,8.0,956.0,4.0,2.0,50.0,1.0,25.0,492.0,2318.0,989.0,6.0,2.0,0.0,7.0,3.0,558.0,4.0
Abdón Prats,ESP,"FW,MF",Mallorca,30.0,14.1,34,6.0,1.0,33.0,14.0,3.2,3.2,1.2,23.0,3.0,132.0,240.0,55.0,6.0,2.0,12.0,14.0,2.0,2.0,2.0,4.0,8.0,14.0,16.0,1.0,26.0,1800000.0,376.0,16.0,34.0,171.0,181.0,43.0,376.0,18.0,8.0,44.4,10.0,55.6,183.0,830.0,285.0,9.0,9.0,5.0,41.0,10.0,266.0,49.0
Abner,BRA,DF,Betis,23.0,15.6,23,0.0,1.0,4.0,0.0,0.1,0.1,1.0,14.0,0.0,615.0,797.0,77.2,25.0,15.0,62.0,23.0,15.0,9.0,1.0,19.0,7.0,8.0,13.0,0.0,33.0,7000000.0,966.0,72.0,344.0,405.0,226.0,28.0,966.0,13.0,7.0,53.8,5.0,38.5,447.0,1802.0,949.0,14.0,10.0,5.0,18.0,11.0,502.0,58.0
Achraf Hakimi,MAR,DF,Paris S-G,24.0,21.5,25,4.0,5.0,42.0,12.0,4.2,4.2,4.2,93.0,14.0,1712.0,1979.0,86.5,29.0,12.0,28.0,42.0,14.0,9.0,6.0,19.0,27.0,43.0,79.0,1.0,218.0,60000000.0,2217.0,68.0,425.0,976.0,835.0,67.0,2217.0,57.0,27.0,47.4,30.0,52.6,1762.0,9215.0,4942.0,84.0,78.0,22.0,33.0,33.0,1679.0,230.0
Adam Lallana,ENG,"MF,FW",Brighton,35.0,9.4,25,0.0,1.0,11.0,2.0,0.8,0.8,2.0,28.0,1.0,451.0,509.0,88.6,8.0,3.0,1.0,9.0,4.0,4.0,0.0,3.0,3.0,15.0,27.0,0.0,39.0,1000000.0,574.0,5.0,80.0,268.0,229.0,44.0,574.0,13.0,3.0,23.1,9.0,69.2,354.0,1310.0,483.0,9.0,12.0,4.0,14.0,18.0,491.0,55.0
Adam Obert,SVK,DF,Cagliari,20.0,10.5,17,0.0,0.0,3.0,3.0,0.1,0.1,0.7,16.0,4.0,372.0,474.0,78.5,17.0,21.0,41.0,11.0,8.0,8.0,1.0,9.0,3.0,6.0,15.0,1.0,37.0,3500000.0,587.0,61.0,256.0,281.0,52.0,3.0,587.0,5.0,3.0,60.0,1.0,20.0,283.0,1533.0,857.0,14.0,6.0,1.0,9.0,2.0,322.0,5.0
Adam Smith,ENG,DF,Bournemouth,32.0,23.9,28,0.0,2.0,2.0,0.0,0.1,0.1,1.7,31.0,5.0,782.0,1025.0,76.3,37.0,21.0,62.0,26.0,18.0,11.0,8.0,23.0,4.0,17.0,26.0,4.0,89.0,1000000.0,1229.0,92.0,404.0,537.0,295.0,11.0,1229.0,15.0,4.0,26.7,8.0,53.3,521.0,2455.0,1022.0,24.0,22.0,3.0,14.0,7.0,580.0,28.0
Adam Webster,ENG,DF,Brighton,28.0,12.7,15,0.0,0.0,8.0,0.0,0.4,0.4,0.3,14.0,0.0,997.0,1096.0,91.0,14.0,16.0,43.0,2.0,8.0,5.0,1.0,12.0,0.0,5.0,13.0,0.0,80.0,15000000.0,1201.0,106.0,495.0,625.0,86.0,14.0,1201.0,2.0,0.0,0.0,2.0,100.0,814.0,4073.0,2357.0,16.0,16.0,0.0,5.0,2.0,903.0,2.0
Adam Wharton,ENG,MF,Crystal Palace,19.0,14.4,16,0.0,3.0,10.0,1.0,0.3,0.3,1.5,37.0,5.0,464.0,596.0,77.9,48.0,20.0,24.0,11.0,18.0,22.0,8.0,32.0,3.0,21.0,30.0,7.0,79.0,30000000.0,742.0,29.0,143.0,426.0,183.0,4.0,742.0,7.0,3.0,42.9,2.0,28.6,346.0,1441.0,723.0,14.0,23.0,0.0,12.0,12.0,449.0,10.0
Adama Traoré,ESP,"FW,MF",Fulham,27.0,4.2,17,2.0,3.0,11.0,7.0,1.5,1.5,0.9,14.0,5.0,97.0,139.0,69.8,4.0,1.0,2.0,7.0,1.0,2.0,1.0,3.0,9.0,7.0,12.0,0.0,16.0,9000000.0,194.0,4.0,28.0,51.0,118.0,24.0,194.0,17.0,9.0,52.9,6.0,35.3,134.0,1227.0,676.0,29.0,13.0,13.0,13.0,9.0,154.0,48.0
Ademola Lookman,NGA,"FW,MF",Atalanta,25.0,21.0,31,11.0,7.0,67.0,24.0,9.1,9.1,4.8,101.0,14.0,635.0,838.0,75.8,20.0,9.0,0.0,28.0,2.0,11.0,7.0,15.0,39.0,50.0,65.0,10.0,97.0,40000000.0,1109.0,2.0,54.0,458.0,607.0,129.0,1109.0,87.0,39.0,44.8,37.0,42.5,699.0,4257.0,1972.0,72.0,42.0,35.0,66.0,42.0,866.0,222.0
Adrian Beck,GER,"MF,FW",Heidenheim,26.0,10.8,23,1.0,1.0,12.0,3.0,1.7,1.7,0.6,29.0,4.0,311.0,431.0,72.2,22.0,4.0,15.0,17.0,8.0,12.0,2.0,13.0,21.0,11.0,22.0,0.0,29.0,1500000.0,560.0,12.0,96.0,304.0,169.0,31.0,560.0,34.0,21.0,61.8,13.0,38.2,314.0,1759.0,702.0,17.0,12.0,0.0,25.0,18.0,341.0,43.0
Adrien Rabiot,FRA,MF,Juventus,28.0,29.5,31,5.0,3.0,38.0,16.0,3.5,3.4,4.0,64.0,5.0,996.0,1211.0,82.2,58.0,25.0,34.0,27.0,22.0,30.0,6.0,39.0,28.0,26.0,54.0,0.0,120.0,30000000.0,1525.0,69.0,269.0,829.0,447.0,79.0,1525.0,54.0,28.0,51.9,21.0,38.9,893.0,5580.0,2746.0,72.0,59.0,10.0,52.0,19.0,1027.0,106.0
Adrien Thomasson,FRA,MF,Lens,29.0,13.3,29,1.0,2.0,31.0,6.0,3.8,3.8,3.8,75.0,3.0,506.0,679.0,74.5,25.0,9.0,10.0,31.0,4.0,16.0,5.0,14.0,9.0,30.0,59.0,9.0,68.0,5000000.0,822.0,17.0,107.0,330.0,393.0,75.0,822.0,14.0,9.0,64.3,5.0,35.7,611.0,3027.0,1117.0,20.0,23.0,7.0,29.0,22.0,574.0,121.0
Adrien Truffert,FRA,DF,Rennes,21.0,23.8,30,1.0,2.0,20.0,7.0,1.7,1.7,2.0,38.0,3.0,1047.0,1333.0,78.5,39.0,19.0,49.0,29.0,23.0,10.0,6.0,21.0,24.0,19.0,27.0,0.0,98.0,18000000.0,1586.0,73.0,388.0,665.0,545.0,47.0,1586.0,56.0,24.0,42.9,28.0,50.0,1023.0,5947.0,2732.0,51.0,61.0,8.0,34.0,24.0,941.0,181.0
Adrià Altimira,ESP,"DF,MF",Villarreal,22.0,8.6,11,0.0,0.0,1.0,0.0,0.0,0.0,0.2,6.0,1.0,389.0,465.0,83.7,16.0,5.0,18.0,10.0,9.0,6.0,1.0,7.0,11.0,2.0,6.0,0.0,29.0,2000000.0,552.0,38.0,200.0,278.0,82.0,2.0,552.0,16.0,11.0,68.8,4.0,25.0,257.0,1338.0,644.0,10.0,6.0,0.0,7.0,5.0,329.0,15.0
Adrià Pedrosa,ESP,DF,Sevilla,25.0,19.5,31,1.0,4.0,16.0,4.0,0.7,0.7,2.0,52.0,4.0,681.0,931.0,73.1,46.0,15.0,54.0,28.0,28.0,14.0,4.0,26.0,12.0,27.0,38.0,6.0,61.0,6000000.0,1178.0,57.0,307.0,477.0,408.0,22.0,1178.0,38.0,12.0,31.6,18.0,47.4,575.0,2913.0,1475.0,46.0,38.0,9.0,35.0,23.0,667.0,109.0
Aihen Muñoz,ESP,DF,Real Sociedad,25.0,12.5,21,0.0,2.0,7.0,2.0,0.3,0.3,0.9,24.0,3.0,504.0,702.0,71.8,36.0,9.0,33.0,19.0,20.0,10.0,6.0,21.0,10.0,12.0,19.0,1.0,39.0,8000000.0,838.0,44.0,244.0,418.0,181.0,6.0,838.0,19.0,10.0,52.6,7.0,36.8,372.0,2000.0,917.0,24.0,23.0,1.0,14.0,8.0,429.0,23.0
Aimar Oroz,ESP,MF,Osasuna,21.0,26.0,33,2.0,1.0,24.0,5.0,3.5,2.8,2.2,70.0,3.0,839.0,1035.0,81.1,43.0,16.0,11.0,35.0,18.0,20.0,5.0,26.0,26.0,26.0,60.0,1.0,103.0,15000000.0,1298.0,17.0,157.0,651.0,516.0,62.0,1297.0,52.0,26.0,50.0,18.0,34.6,773.0,4229.0,2079.0,52.0,46.0,9.0,58.0,42.0,928.0,126.0
Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,25.0,15.9,23,1.0,4.0,17.0,5.0,3.0,2.2,1.5,33.0,7.0,663.0,796.0,83.3,34.0,17.0,29.0,12.0,12.0,14.0,8.0,18.0,16.0,18.0,27.0,0.0,76.0,9000000.0,949.0,56.0,269.0,400.0,293.0,41.0,948.0,33.0,16.0,48.5,14.0,42.4,645.0,3539.0,1645.0,26.0,25.0,6.0,15.0,11.0,580.0,82.0
Aitor Paredes,ESP,DF,Athletic Club,23.0,30.0,34,1.0,0.0,14.0,3.0,1.2,1.2,0.4,15.0,1.0,1331.0,1556.0,85.5,20.0,33.0,104.0,7.0,11.0,9.0,0.0,11.0,2.0,4.0,15.0,0.0,107.0,22000000.0,1799.0,158.0,915.0,852.0,41.0,24.0,1799.0,3.0,2.0,66.7,1.0,33.3,1004.0,5116.0,2607.0,6.0,2.0,0.0,9.0,2.0,1167.0,1.0
Aitor Ruibal,ESP,"DF,FW",Betis,27.0,11.3,18,2.0,1.0,13.0,2.0,0.8,0.8,0.8,33.0,3.0,445.0,586.0,75.9,46.0,14.0,33.0,27.0,28.0,13.0,5.0,27.0,27.0,11.0,27.0,1.0,54.0,3500000.0,744.0,36.0,232.0,318.0,209.0,25.0,744.0,45.0,27.0,60.0,14.0,31.1,380.0,1932.0,1016.0,22.0,15.0,9.0,19.0,9.0,409.0,50.0
Akor Adams,NGA,FW,Montpellier,23.0,25.0,32,8.0,1.0,79.0,32.0,12.4,12.4,1.4,43.0,3.0,250.0,385.0,64.9,12.0,5.0,11.0,20.0,3.0,4.0,5.0,4.0,14.0,17.0,29.0,0.0,17.0,10000000.0,638.0,17.0,61.0,266.0,323.0,118.0,638.0,44.0,14.0,31.8,26.0,59.1,442.0,2673.0,1004.0,40.0,23.0,22.0,68.0,30.0,472.0,127.0
Alaa Bellaarouch,MAR,GK,Strasbourg,21.0,15.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,352.0,504.0,69.8,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2000000.0,542.0,413.0,540.0,3.0,0.0,0.0,542.0,0.0,0.0,,0.0,,415.0,2305.0,1282.0,0.0,1.0,1.0,0.0,0.0,300.0,0.0
Alban Lafont,FRA,GK,Nantes,24.0,27.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,720.0,1006.0,71.6,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,9000000.0,1081.0,914.0,1075.0,6.0,0.0,0.0,1081.0,1.0,0.0,0.0,0.0,0.0,768.0,3646.0,1792.0,0.0,0.0,0.0,1.0,0.0,561.0,0.0
Albert Sambi Lokonga,BEL,MF,Luton Town,23.0,14.5,17,1.0,3.0,8.0,2.0,0.6,0.6,0.8,27.0,3.0,669.0,766.0,87.3,29.0,11.0,14.0,3.0,14.0,12.0,3.0,18.0,11.0,9.0,22.0,0.0,72.0,12000000.0,899.0,54.0,223.0,513.0,170.0,11.0,899.0,22.0,11.0,50.0,7.0,31.8,529.0,3027.0,1707.0,29.0,19.0,2.0,12.0,11.0,597.0,13.0
Alberto Cerri,ITA,FW,Empoli,27.0,6.1,12,1.0,0.0,10.0,3.0,1.2,1.2,0.3,8.0,1.0,68.0,136.0,50.0,3.0,3.0,7.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,6.0,0.0,9.0,1700000.0,189.0,7.0,17.0,89.0,85.0,18.0,189.0,6.0,1.0,16.7,5.0,83.3,98.0,360.0,149.0,3.0,7.0,1.0,13.0,12.0,145.0,23.0
Alberto Dossena,ITA,DF,Cagliari,24.0,33.1,35,2.0,4.0,24.0,6.0,2.2,2.2,1.3,29.0,5.0,1042.0,1305.0,79.8,55.0,45.0,172.0,8.0,43.0,12.0,0.0,35.0,5.0,12.0,21.0,0.0,89.0,7000000.0,1720.0,270.0,930.0,748.0,55.0,35.0,1720.0,8.0,5.0,62.5,3.0,37.5,774.0,3763.0,2159.0,9.0,6.0,0.0,22.0,10.0,849.0,2.0
Alberto Grassi,ITA,MF,Empoli,28.0,20.1,27,0.0,1.0,23.0,5.0,1.1,1.1,1.3,24.0,3.0,696.0,861.0,80.8,30.0,41.0,37.0,13.0,13.0,13.0,4.0,18.0,5.0,6.0,20.0,0.0,75.0,1800000.0,1085.0,67.0,324.0,625.0,143.0,16.0,1085.0,10.0,5.0,50.0,4.0,40.0,525.0,2436.0,957.0,13.0,13.0,0.0,13.0,7.0,615.0,13.0
Alberto Moleiro,ESP,"FW,MF",Las Palmas,19.0,20.0,28,3.0,3.0,33.0,10.0,2.0,2.0,2.7,67.0,5.0,581.0,735.0,79.0,15.0,7.0,10.0,37.0,4.0,7.0,4.0,6.0,57.0,27.0,53.0,1.0,87.0,20000000.0,977.0,8.0,109.0,441.0,453.0,59.0,977.0,116.0,57.0,49.1,54.0,46.6,681.0,4467.0,2389.0,86.0,67.0,24.0,60.0,27.0,773.0,184.0
Alberto Moreno,ESP,DF,Villarreal,31.0,16.5,27,2.0,2.0,17.0,5.0,0.7,0.7,1.8,36.0,8.0,586.0,733.0,79.9,31.0,24.0,33.0,14.0,19.0,10.0,2.0,21.0,5.0,16.0,27.0,2.0,55.0,1800000.0,885.0,53.0,279.0,349.0,266.0,27.0,885.0,10.0,5.0,50.0,4.0,40.0,402.0,2042.0,1033.0,26.0,21.0,2.0,17.0,3.0,523.0,79.0
Aleix García,ESP,MF,Girona,26.0,35.5,37,3.0,6.0,39.0,12.0,1.8,1.8,6.0,129.0,21.0,2567.0,2935.0,87.5,49.0,36.0,53.0,24.0,17.0,26.0,6.0,28.0,15.0,57.0,82.0,40.0,294.0,20000000.0,3220.0,149.0,780.0,1809.0,651.0,18.0,3220.0,24.0,15.0,62.5,6.0,25.0,1923.0,9334.0,4604.0,58.0,44.0,3.0,26.0,15.0,2403.0,52.0
Alejandro Balde,ESP,DF,Barcelona,19.0,15.3,18,0.0,1.0,5.0,1.0,0.1,0.1,1.5,29.0,4.0,694.0,817.0,84.9,20.0,5.0,21.0,16.0,11.0,6.0,3.0,11.0,20.0,13.0,26.0,0.0,41.0,40000000.0,979.0,35.0,215.0,394.0,384.0,40.0,979.0,53.0,20.0,37.7,20.0,37.7,567.0,3770.0,2213.0,73.0,36.0,20.0,32.0,16.0,664.0,141.0
Alejandro Garnacho,ARG,FW,Manchester Utd,19.0,28.5,36,7.0,4.0,100.0,27.0,8.4,8.3,2.9,119.0,15.0,675.0,901.0,74.9,22.0,18.0,18.0,50.0,7.0,6.0,9.0,15.0,48.0,46.0,80.0,0.0,62.0,50000000.0,1312.0,13.0,180.0,403.0,741.0,248.0,1312.0,131.0,48.0,36.6,63.0,48.1,938.0,8015.0,4211.0,178.0,83.0,102.0,69.0,49.0,1006.0,281.0
Aleksandar Pavlovic,GER,MF,Bayern Munich,19.0,13.6,19,2.0,2.0,8.0,2.0,1.2,1.2,1.8,40.0,6.0,897.0,971.0,92.4,28.0,17.0,12.0,4.0,10.0,14.0,4.0,16.0,5.0,11.0,31.0,6.0,105.0,50000000.0,1082.0,25.0,195.0,714.0,179.0,10.0,1082.0,11.0,5.0,45.5,5.0,45.5,701.0,3804.0,1714.0,14.0,21.0,3.0,12.0,14.0,823.0,14.0
Aleksandar Sedlar,SRB,DF,Alavés,31.0,10.5,11,1.0,0.0,4.0,1.0,0.3,0.3,0.1,9.0,0.0,343.0,405.0,84.7,14.0,13.0,43.0,1.0,10.0,4.0,0.0,10.0,2.0,2.0,6.0,0.0,26.0,400000.0,497.0,76.0,277.0,204.0,18.0,6.0,497.0,3.0,2.0,66.7,0.0,0.0,247.0,1442.0,794.0,6.0,4.0,0.0,3.0,2.0,264.0,1.0
Aleksandr Golovin,RUS,"MF,FW",Monaco,27.0,23.9,25,6.0,6.0,44.0,19.0,3.4,3.4,6.4,102.0,7.0,935.0,1236.0,75.6,42.0,21.0,14.0,27.0,14.0,22.0,6.0,30.0,24.0,50.0,62.0,29.0,172.0,30000000.0,1473.0,22.0,161.0,637.0,688.0,49.0,1473.0,44.0,24.0,54.5,17.0,38.6,1070.0,5969.0,2489.0,50.0,47.0,18.0,42.0,23.0,1001.0,157.0
Alessandro Bastoni,ITA,DF,Inter,24.0,25.2,28,1.0,3.0,15.0,6.0,1.2,1.2,3.1,63.0,6.0,1671.0,1935.0,86.4,46.0,23.0,48.0,30.0,31.0,12.0,3.0,33.0,10.0,22.0,54.0,1.0,142.0,70000000.0,2127.0,209.0,769.0,986.0,388.0,35.0,2127.0,19.0,10.0,52.6,8.0,42.1,1434.0,7294.0,4361.0,63.0,66.0,6.0,12.0,10.0,1612.0,77.0
Alessandro Buongiorno,ITA,DF,Torino,24.0,28.1,29,3.0,0.0,13.0,6.0,1.6,1.6,0.4,22.0,1.0,1012.0,1187.0,85.3,70.0,69.0,131.0,7.0,43.0,24.0,3.0,39.0,0.0,4.0,17.0,0.0,62.0,35000000.0,1539.0,153.0,739.0,748.0,64.0,19.0,1539.0,4.0,0.0,0.0,4.0,100.0,740.0,3702.0,1363.0,14.0,10.0,2.0,26.0,4.0,809.0,10.0
Alessandro Deiola,ITA,MF,Cagliari,27.0,17.9,27,1.0,0.0,25.0,6.0,2.5,2.5,0.5,28.0,0.0,364.0,524.0,69.5,33.0,9.0,37.0,10.0,13.0,16.0,4.0,19.0,5.0,10.0,23.0,1.0,64.0,1900000.0,700.0,42.0,175.0,376.0,153.0,24.0,700.0,10.0,5.0,50.0,3.0,30.0,272.0,1230.0,473.0,9.0,5.0,0.0,10.0,15.0,369.0,21.0
Alessandro Florenzi,ITA,DF,Milan,32.0,19.2,31,1.0,4.0,32.0,10.0,1.7,1.7,3.5,85.0,7.0,1055.0,1277.0,82.6,43.0,20.0,25.0,16.0,26.0,12.0,5.0,21.0,1.0,45.0,47.0,28.0,106.0,2000000.0,1449.0,62.0,403.0,699.0,354.0,19.0,1449.0,13.0,1.0,7.7,11.0,84.6,816.0,4084.0,2195.0,29.0,28.0,1.0,17.0,5.0,916.0,50.0
Alessandro Vogliacco,ITA,DF,Genoa,24.0,13.0,20,0.0,1.0,5.0,0.0,0.4,0.4,0.5,23.0,3.0,494.0,626.0,78.9,23.0,30.0,40.0,5.0,14.0,8.0,1.0,15.0,3.0,13.0,19.0,3.0,49.0,2000000.0,757.0,82.0,311.0,381.0,67.0,9.0,757.0,7.0,3.0,42.9,3.0,42.9,377.0,1611.0,809.0,8.0,9.0,4.0,7.0,3.0,457.0,12.0
Alessandro Zanoli,ITA,DF,Salernitana,22.0,10.2,17,0.0,2.0,3.0,1.0,0.2,0.2,0.9,24.0,2.0,322.0,434.0,74.2,16.0,1.0,17.0,18.0,9.0,7.0,0.0,13.0,6.0,12.0,20.0,2.0,28.0,5000000.0,528.0,21.0,125.0,236.0,173.0,19.0,528.0,24.0,6.0,25.0,17.0,70.8,254.0,1553.0,743.0,27.0,13.0,6.0,8.0,4.0,325.0,45.0
Alessio Romagnoli,ITA,DF,Lazio,28.0,26.8,29,0.0,0.0,11.0,5.0,0.6,0.6,0.6,12.0,1.0,1604.0,1759.0,91.2,25.0,29.0,115.0,3.0,14.0,11.0,0.0,18.0,0.0,6.0,11.0,0.0,87.0,15000000.0,1995.0,276.0,973.0,992.0,36.0,18.0,1995.0,1.0,0.0,0.0,1.0,100.0,981.0,4361.0,2024.0,7.0,2.0,0.0,9.0,0.0,1347.0,2.0
Alessio Zerbin,ITA,"DF,FW",Monza,24.0,7.6,13,0.0,1.0,6.0,2.0,0.4,0.4,1.0,29.0,2.0,218.0,282.0,77.3,18.0,3.0,5.0,11.0,13.0,2.0,3.0,10.0,13.0,12.0,19.0,1.0,20.0,4000000.0,376.0,13.0,88.0,150.0,143.0,18.0,376.0,31.0,13.0,41.9,16.0,51.6,205.0,1417.0,675.0,17.0,19.0,5.0,15.0,7.0,224.0,46.0
Alex Král,CZE,MF,Union Berlin,25.0,15.2,24,0.0,0.0,18.0,5.0,1.7,1.7,0.5,23.0,0.0,340.0,487.0,69.8,19.0,11.0,30.0,15.0,7.0,10.0,2.0,14.0,5.0,5.0,15.0,2.0,44.0,6000000.0,618.0,37.0,164.0,311.0,151.0,17.0,618.0,12.0,5.0,41.7,5.0,41.7,287.0,1688.0,837.0,15.0,16.0,1.0,15.0,12.0,338.0,41.0
Alex Meret,ITA,GK,Napoli,26.0,30.8,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,769.0,914.0,84.1,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,12000000.0,959.0,793.0,956.0,3.0,0.0,0.0,959.0,1.0,1.0,100.0,0.0,0.0,564.0,2467.0,1302.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0
Alex Scott,ENG,MF,Bournemouth,19.0,11.3,23,1.0,1.0,15.0,3.0,0.7,0.7,1.1,44.0,3.0,361.0,474.0,76.2,24.0,12.0,18.0,10.0,8.0,10.0,6.0,15.0,13.0,22.0,32.0,5.0,50.0,20000000.0,612.0,33.0,120.0,295.0,217.0,29.0,612.0,37.0,13.0,35.1,20.0,54.1,330.0,2166.0,1129.0,24.0,21.0,10.0,17.0,11.0,361.0,35.0
Alexander Isak,SWE,FW,Newcastle Utd,23.0,25.1,30,21.0,2.0,72.0,36.0,20.3,15.6,2.8,72.0,10.0,385.0,493.0,78.1,5.0,6.0,13.0,21.0,2.0,1.0,2.0,0.0,42.0,27.0,45.0,0.0,71.0,75000000.0,725.0,19.0,46.0,299.0,387.0,139.0,720.0,74.0,42.0,56.8,28.0,37.8,421.0,3052.0,1613.0,68.0,31.0,38.0,49.0,23.0,511.0,129.0
Alexander Nübel,GER,GK,Stuttgart,26.0,30.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,998.0,1218.0,81.9,2.0,0.0,13.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,12000000.0,1278.0,1050.0,1265.0,13.0,0.0,0.0,1278.0,0.0,0.0,,0.0,,762.0,3696.0,2160.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0
