,,,,,,,,,,,,,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,,-additional
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-9999
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
33,Carlos Baleba,2023-2024,19,cm CMR,Brighton,eng Premier League,27,1325,14.7,15,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,a1390d2f
34,Ross Barkley,2023-2024,29,eng ENG,Luton Town,eng Premier League,32,2618,29.1,30,2,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,MF,3a24769f
35,Harvey Barnes,2023-2024,25,eng ENG,Newcastle Utd,eng Premier League,21,802,8.9,7,14,0,0.6,0.3,0.9,0.6,0.0,0.0,0.0,FWMF,3ea50f67
36,Calvin Bassey,2023-2024,23,ng NGA,Fulham,eng Premier League,29,2303,25.6,25,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,a36524bf
37,Amari'i Bell,2023-2024,29,jm JAM,Luton Town,eng Premier League,21,1720,19.1,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,399e9474
38,Jean-Ricner Bellegarde,2023-2024,25,fr FRA,Wolves,eng Premier League,22,958,10.6,10,12,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,MFFW,10f0fdd3
39,Saïd Benrahma,2023-2024,27,dz ALG,West Ham,eng Premier League,13,620,6.9,5,8,7,0.0,0.1,0.1,0.0,0.0,0.1,0.1,FWMF,5a04fd92
40,Rodrigo Bentancur,2023-2024,26,uy URU,Tottenham,eng Premier League,23,1005,11.2,13,10,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MF,3b8674e6
41,Jóhann Berg Guðmundsson,2023-2024,32,is ISL,Burnley,eng Premier League,26,1192,13.2,12,14,5,0.1,0.2,0.3,0.1,0.0,0.0,0.0,MFFW,f72293fc
42,Sander Berge,2023-2024,25,no NOR,Burnley,eng Premier League,37,3005,33.4,34,3,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MF,d0b6129f
43,Beto,2023-2024,25,gw GNB,Everton,eng Premier League,30,951,10.6,9,21,2,0.3,0.0,0.3,0.3,0.0,0.1,0.1,FW,ed5c0319
44,Jordan Beyer,2023-2024,23,de GER,Burnley,eng Premier League,15,1234,13.7,15,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,9af1f9ff
45,Philip Billing,2023-2024,27,dk DEN,Bournemouth,eng Premier League,29,1398,15.5,13,16,4,0.1,0.1,0.3,0.1,0.0,0.0,0.0,MF,d328a254
46,Yves Bissouma,2023-2024,26,ml MLI,Tottenham,eng Premier League,28,2068,23.0,26,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,6c203af0
47,Jayden Bogle,2023-2024,23,eng ENG,Sheffield Utd,eng Premier League,34,2788,31.0,32,2,1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,ae5019e6
48,Willy Boly,2023-2024,32,ci CIV,Nott'ham Forest,eng Premier League,20,1438,16.0,18,2,3,0.1,0.1,0.2,0.1,0.0,0.0,0.0,DF,a4ac4b8f
49,Sven Botman,2023-2024,23,nl NED,Newcastle Utd,eng Premier League,17,1377,15.3,15,2,0,0.1,0.1,0.3,0.1,0.0,0.0,0.0,DF,ccce7025
50,Jarrod Bowen,2023-2024,26,eng ENG,West Ham,eng Premier League,34,3019,33.5,34,0,0,0.5,0.2,0.7,0.5,0.0,0.0,0.0,FW,79c84d1c
51,Conor Bradley,2023-2024,20,nir NIR,Liverpool,eng Premier League,11,753,8.4,10,1,8,0.1,0.4,0.5,0.1,0.0,0.0,0.0,DF,bbd67769
52,Jarrad Branthwaite,2023-2024,21,eng ENG,Everton,eng Premier League,35,3116,34.6,35,0,2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,c1949191
53,Ben Brereton,2023-2024,24,cl CHI,Sheffield Utd,eng Premier League,14,1105,12.3,14,0,1,0.5,0.1,0.6,0.4,0.1,0.1,0.0,FWMF,57827369
54,Armando Broja,2023-2024,21,al ALB,2 Teams,eng Premier League,21,542,6.0,6,15,5,0.2,0.2,0.3,0.2,0.0,0.0,0.0,FW,97220da2
55,Andre Brooks,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,20,938,10.4,12,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MFDF,5f346071
56,Jacob Brown,2023-2024,25,sct SCO,Luton Town,eng Premier League,19,1019,11.3,12,7,2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,MFFW,ca18c8f1
57,Josh Brownhill,2023-2024,27,eng ENG,Burnley,eng Premier League,33,2252,25.0,23,10,4,0.2,0.1,0.2,0.2,0.0,0.0,0.0,MF,47369df8
58,Jacob Bruun Larsen,2023-2024,24,dk DEN,Burnley,eng Premier League,32,1249,13.9,16,16,5,0.4,0.0,0.4,0.4,0.1,0.1,0.0,MFFW,4e204552
59,Hugo Bueno,2023-2024,20,es ESP,Wolves,eng Premier League,22,741,8.2,7,15,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DFMF,bfc3b3a0
60,Santiago Bueno,2023-2024,24,uy URU,Wolves,eng Premier League,12,822,9.1,9,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,edc98fac
61,Facundo Buonanotte,2023-2024,18,ar ARG,Brighton,eng Premier League,27,1364,15.2,17,10,6,0.2,0.1,0.3,0.2,0.0,0.0,0.0,FWMF,468a7a91
62,Reece Burke,2023-2024,26,eng ENG,Luton Town,eng Premier League,22,1660,18.4,20,2,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,DF,a681b7b7
63,Dan Burn,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,33,2726,30.3,32,1,0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,DF,b2d31e83
64,Moisés Caicedo,2023-2024,21,ec ECU,Chelsea,eng Premier League,35,2866,31.8,33,2,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MF,16264a81
65,Tom Cairney,2023-2024,32,sct SCO,Fulham,eng Premier League,34,1488,16.5,14,20,4,0.1,0.2,0.3,0.1,0.0,0.0,0.0,MF,a8748947
66,Dominic Calvert-Lewin,2023-2024,26,eng ENG,Everton,eng Premier League,32,2171,24.1,26,6,0,0.3,0.1,0.4,0.2,0.1,0.1,0.0,FW,59e6e5bf
67,Diego Carlos,2023-2024,30,br BRA,Aston Villa,eng Premier League,27,1816,20.2,20,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,b4a014b1
68,Casemiro,2023-2024,31,br BRA,Manchester Utd,eng Premier League,25,1982,22.0,24,1,1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MFDF,4d224fe8
69,Matty Cash,2023-2024,25,pl POL,Aston Villa,eng Premier League,29,2142,23.8,23,6,2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,DF,2389cdc2
70,Timothy Castagne,2023-2024,27,be BEL,Fulham,eng Premier League,34,2634,29.3,29,5,1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,197640fd
71,Trevoh Chalobah,2023-2024,24,eng ENG,Chelsea,eng Premier League,13,952,10.6,10,3,1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,5515376c
72,Ben Chilwell,2023-2024,26,eng ENG,Chelsea,eng Premier League,13,756,8.4,9,4,1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,d2424d1b
