,,,,,,,,,,,,,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,,-additional
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-9999
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
143,André Gomes,2023-2024,30,pt POR,Everton,eng Premier League,12,508,5.6,3,9,4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,MFFW,1961b2aa
144,João Gomes,2023-2024,22,br BRA,Wolves,eng Premier League,34,2649,29.4,32,2,1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,MF,8b57ad2c
145,Toti Gomes,2023-2024,24,pt POR,Wolves,eng Premier League,35,2772,30.8,31,4,3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,f0caab96
146,Joe Gomez,2023-2024,26,eng ENG,Liverpool,eng Premier League,32,1786,19.8,17,15,4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,7a11550b
147,Anthony Gordon,2023-2024,22,eng ENG,Newcastle Utd,eng Premier League,35,2890,32.1,34,1,0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,FW,2bd83368
148,Ryan Gravenberch,2023-2024,21,nl NED,Liverpool,eng Premier League,26,1121,12.5,12,14,5,0.1,0.0,0.1,0.1,0.0,0.0,0.0,MF,b8e740fb
149,Ivo Grbić,2023-2024,27,hr CRO,Sheffield Utd,eng Premier League,9,771,8.6,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,3f034750
150,Jack Grealish,2023-2024,27,eng ENG,Manchester City,eng Premier League,20,1009,11.2,10,10,9,0.3,0.1,0.4,0.3,0.0,0.0,0.0,FWMF,b0b4fd3e
151,Pascal Groß,2023-2024,32,de GER,Brighton,eng Premier League,36,3114,34.6,34,2,0,0.1,0.3,0.4,0.1,0.0,0.0,0.0,MFDF,8aec0537
152,Marc Guéhi,2023-2024,23,eng ENG,Crystal Palace,eng Premier League,25,2021,22.5,23,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,d0706b27
153,Bruno Guimarães,2023-2024,25,br BRA,Newcastle Utd,eng Premier League,37,3263,36.3,37,0,0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,MF,82518f62
154,Malo Gusto,2023-2024,20,fr FRA,Chelsea,eng Premier League,27,1751,19.5,19,8,1,0.0,0.3,0.3,0.0,0.0,0.0,0.0,DF,d56b9520
155,Joško Gvardiol,2023-2024,21,hr CRO,Manchester City,eng Premier League,28,2328,25.9,26,2,7,0.2,0.0,0.2,0.2,0.0,0.0,0.0,DF,5ad50391
156,Erling Haaland,2023-2024,23,no NOR,Manchester City,eng Premier League,31,2552,28.4,29,2,1,1.0,0.2,1.1,0.7,0.2,0.3,0.0,FW,1f44ac21
157,Lewis Hall,2023-2024,18,eng ENG,Newcastle Utd,eng Premier League,18,781,8.7,8,10,15,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,da011f18
158,Gustavo Hamer,2023-2024,26,nl NED,Sheffield Utd,eng Premier League,36,2910,32.3,34,2,0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,MF,eebacc07
159,Jack Harrison,2023-2024,26,eng ENG,Everton,eng Premier League,29,2214,24.6,25,4,1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MFFW,aa849a12
160,Daiki Hashioka,2023-2024,24,jp JPN,Luton Town,eng Premier League,10,595,6.6,6,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,10cb48b7
161,Kai Havertz,2023-2024,24,de GER,Arsenal,eng Premier League,37,2634,29.3,30,7,0,0.4,0.2,0.7,0.4,0.0,0.0,0.0,MFFW,fed7cb61
162,Jan Paul van Hecke,2023-2024,23,nl NED,Brighton,eng Premier League,28,2369,26.3,26,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,4fd08daa
163,Hwang Hee-chan,2023-2024,27,kr KOR,Wolves,eng Premier League,29,2119,23.5,25,4,0,0.5,0.1,0.6,0.5,0.0,0.0,0.0,FWMF,169fd162
164,Dean Henderson,2023-2024,26,eng ENG,2 Teams,eng Premier League,18,1620,18.0,18,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,e5a76dfe
165,Son Heung-min,2023-2024,31,kr KOR,Tottenham,eng Premier League,35,2934,32.6,34,1,0,0.5,0.3,0.8,0.5,0.1,0.1,0.0,FW,92e7e919
166,Aaron Hickey,2023-2024,21,sct SCO,Brentford,eng Premier League,9,713,7.9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,1780bb4a
167,Jack Hinshelwood,2023-2024,18,eng ENG,Brighton,eng Premier League,12,869,9.7,8,4,4,0.3,0.0,0.3,0.3,0.0,0.0,0.0,DF,e98211e7
168,Mason Holgate,2023-2024,26,eng ENG,Sheffield Utd,eng Premier League,10,710,7.9,9,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,d0042ab9
169,Pierre Højbjerg,2023-2024,27,dk DEN,Tottenham,eng Premier League,36,1311,14.6,8,28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,8b04d6c1
170,Rasmus Højlund,2023-2024,20,dk DEN,Manchester Utd,eng Premier League,30,2158,24.0,25,5,0,0.4,0.1,0.5,0.4,0.0,0.0,0.0,FW,491a433d
171,Callum Hudson-Odoi,2023-2024,22,eng ENG,Nott'ham Forest,eng Premier League,29,1854,20.6,20,9,1,0.4,0.0,0.4,0.4,0.0,0.0,0.0,FWMF,15f3ec41
172,Will Hughes,2023-2024,28,eng ENG,Crystal Palace,eng Premier League,30,1891,21.0,23,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,a0666d3e
173,Igor,2023-2024,25,br BRA,Brighton,eng Premier League,24,1637,18.2,17,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,a4e85758
174,Alexander Isak,2023-2024,23,se SWE,Newcastle Utd,eng Premier League,30,2255,25.1,27,3,1,0.8,0.1,0.9,0.6,0.2,0.2,0.0,FW,8e92be30
175,Alex Iwobi,2023-2024,27,ng NGA,2 Teams,eng Premier League,32,2332,25.9,27,5,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,MF,6ca5ec4b
176,Nicolas Jackson,2023-2024,22,sn SEN,Chelsea,eng Premier League,35,2799,31.1,31,4,0,0.5,0.2,0.6,0.5,0.0,0.0,0.0,FW,9c36ed83
177,Vitaly Janelt,2023-2024,25,de GER,Brentford,eng Premier League,38,3054,33.9,37,1,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MFDF,8449d35e
178,Mathias Jensen,2023-2024,27,dk DEN,Brentford,eng Premier League,32,2204,24.5,27,5,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MF,0f134faf
179,Gabriel Jesus,2023-2024,26,br BRA,Arsenal,eng Premier League,27,1478,16.4,17,10,3,0.2,0.3,0.5,0.2,0.0,0.0,0.0,FW,b66315ae
180,Raúl Jiménez,2023-2024,32,mx MEX,Fulham,eng Premier League,24,1395,15.5,18,6,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,FW,b561db50
181,João Pedro,2023-2024,21,br BRA,Brighton,eng Premier League,31,2045,22.7,19,12,0,0.4,0.1,0.5,0.2,0.2,0.2,0.0,FWMF,e8832875
182,Joelinton,2023-2024,26,br BRA,Newcastle Utd,eng Premier League,20,1279,14.2,15,5,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MFFW,c17bfb65
183,Ryan John Giles,2023-2024,23,eng ENG,Luton Town,eng Premier League,11,503,5.6,5,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DFMF,73b1d65b
184,Ben Johnson,2023-2024,23,eng ENG,West Ham,eng Premier League,14,544,6.0,4,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DFFW,9319781b
185,Brennan Johnson,2023-2024,22,wls WAL,2 Teams,eng Premier League,35,2322,25.8,26,9,0,0.2,0.4,0.6,0.2,0.0,0.0,0.0,FW,0cd31129
186,Sam Johnstone,2023-2024,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20.0,20,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,9e5708be
187,Curtis Jones,2023-2024,22,eng ENG,Liverpool,eng Premier League,23,1167,13.0,14,9,4,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MF,4fb9c88f
188,Jorginho,2023-2024,31,it ITA,Arsenal,eng Premier League,24,921,10.2,10,14,13,0.0,0.2,0.2,0.0,0.0,0.0,0.0,MF,45db685d
189,Diogo Jota,2023-2024,26,pt POR,Liverpool,eng Premier League,21,1145,12.7,14,7,1,0.8,0.2,1.0,0.8,0.0,0.0,0.0,FW,178ae8f8
190,Mathias Jørgensen,2023-2024,33,dk DEN,Brentford,eng Premier League,14,1087,12.1,12,2,23,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,0db5d2c8
191,Issa Kaboré,2023-2024,22,bf BFA,Luton Town,eng Premier League,24,1729,19.2,21,3,4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,c066d1a5
192,Boubacar Kamara,2023-2024,23,fr FRA,Aston Villa,eng Premier League,20,1652,18.4,20,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MF,cc77354e
193,Thomas Kaminski,2023-2024,30,be BEL,Luton Town,eng Premier League,38,3405,37.8,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,1caa93a5
194,Caoimhín Kelleher,2023-2024,24,ie IRL,Liverpool,eng Premier League,10,900,10.0,10,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,62d7ef38
195,Lloyd Kelly,2023-2024,24,eng ENG,Bournemouth,eng Premier League,23,1559,17.3,17,6,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,DF,f31def1e
196,Milos Kerkez,2023-2024,19,hu HUN,Bournemouth,eng Premier League,28,1970,21.9,22,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,0ad53bdc
197,Max Kilman,2023-2024,26,eng ENG,Wolves,eng Premier League,38,3420,38.0,38,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,d0f72bf1
198,Jakub Kiwior,2023-2024,23,pl POL,Arsenal,eng Premier League,20,946,10.5,11,9,18,0.1,0.3,0.4,0.1,0.0,0.0,0.0,DF,dc3e663e
199,Justin Kluivert,2023-2024,24,nl NED,Bournemouth,eng Premier League,32,1916,21.3,26,6,6,0.3,0.0,0.4,0.3,0.0,0.0,0.0,MFFW,4c3a6744
200,Luca Koleosho,2023-2024,18,it ITA,Burnley,eng Premier League,15,974,10.8,13,2,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,MFFW,fc076f78
